Date,Open,High,Low,Close,Volume,ret_1,ret_5,ret_10,vol_10,vol_20,close_sma10,close_sma20,close_sma50,close_sma200,rsi_14,macd,macd_signal,macd_hist,vol_chg_5,target
2005-10-17,1186.57,1191.21,1184.48,1190.1,1141427778.0,0.002974961443488411,0.002332965561385514,-0.02983614575690885,0.006924329428208469,0.006104459446110088,-5.377410172050089e-05,-0.01213805995237102,-0.022006617911355802,-0.007549743639949985,35.34403669157312,-10.696987654316217,-8.296368181881281,-2.4006194724349363,-0.06439919983766751,0.0
2005-10-18,1190.1,1190.1,1178.13,1178.14,1220561111.0,-0.010049575665910249,-0.005679948011173996,-0.029914283596959912,0.006933283961022855,0.006239261803287763,-0.007071875913903513,-0.0203091230979167,-0.031118614160961084,-0.017425366561871058,30.215460018145407,-11.179742348610262,-8.873043015227077,-2.3066993333831842,-0.04437939289246973,0.0
2005-10-19,1178.14,1195.76,1170.55,1195.76,1501994444.0,0.014955777751370691,0.015352217919978095,-0.0005265841406231209,0.007639970915350163,0.007022028209874072,0.007831648219758068,-0.005059737519355642,-0.016051778571823556,-0.0027622608030717535,34.76517754403666,-10.024980444155744,-9.103430501012811,-0.9215499431429333,0.08522125175338657,0.0
2005-10-20,1195.76,1197.3,1173.3,1177.8,1454027778.0,-0.015019736401953643,0.0008157438564291297,-0.011489815273313275,0.008954380565703177,0.007643911201441305,-0.006158979123263101,-0.018500000000000037,-0.03001102088004645,-0.017716178438886766,29.023768398664913,-10.438714217655388,-9.370487244341327,-1.0682269733140615,0.11317865780173242,0.0
2005-10-21,1177.8,1186.46,1174.92,1179.59,1372733333.0,0.001519782645610368,-0.00588250166446147,-0.013638264068902228,0.008849867354091802,0.007660702853299073,-0.0032768101883617943,-0.015543954966345773,-0.027604366485798712,-0.01618926990841849,30.576399765580305,-10.501112881022436,-9.596612371677548,-0.9045005093448886,0.12882034178573742,0.0
2005-10-24,1179.59,1199.39,1179.59,1199.38,1220994444.0,0.01677701574275825,0.00779766406184379,0.010148821304944766,0.010229011657628077,0.008678628467052073,0.012414396208911748,0.0016514914575509832,-0.010784721259988007,0.0002611197090006439,44.14344484500502,-8.851640461939041,-9.447617989729848,0.5959775277908061,0.06970801616499656,0.0
2005-10-25,1199.38,1201.3,1189.29,1196.54,1284705556.0,-0.0023678900765397026,0.015617838287469876,0.009849181766776072,0.010239496131202128,0.008685516237232996,0.009023139715307332,7.814808267644986e-05,-0.012519008270464847,-0.0021335614380588704,50.0660269328204,-7.684998077051205,-9.09509400719412,1.4100959301429157,0.05255324327632138,0.0
2005-10-26,1196.54,1204.01,1191.38,1191.38,1370972222.0,-0.004312434185233971,-0.0036629423964674723,0.011633041233611863,0.010118645665725871,0.008710023685739629,0.0035124367213890556,-0.0031719310458502925,-0.01632349150419158,-0.006471552995091496,49.95169081511358,-7.095007626474626,-8.695076731050221,1.6000691045755957,-0.08723216155918079,0.0
2005-10-27,1191.38,1192.65,1178.89,1178.9,1330761111.0,-0.010475247192331616,0.0009339446425540299,0.001750450358587452,0.010773772783274042,0.008627573102324204,-0.007171875736894104,-0.011596905256168091,-0.025962812914300526,-0.016842934132979843,43.028215218156205,-7.547465163755305,-8.465554417591239,0.9180892538359338,-0.08477600556541776,0.0
2005-10-28,1178.9,1198.41,1178.9,1198.41,1321888889.0,0.016549325642548185,0.015954696123229306,0.009978340932267127,0.01173584575527033,0.009562215852890937,0.00825340737001529,0.006042585198940317,-0.00950582158426166,-0.0006596891880768913,54.16980279423176,-6.259590411895715,-8.024361616452135,1.7647712045564194,-0.037038835422524174,0.0
